#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
1,Nikola Jokic,DEN,26,72,47,25,34.6,26.4,10.2,18.0,56.6,1.3,3.3,38.8,4.8,5.5,86.8,2.8,8.0,10.8,8.3,3.1,1.3,0.7,2.7,54.7,60,16,5.3
2,Russell Westbrook,WAS,32,65,30,35,36.4,22.2,8.4,19.0,43.9,1.3,4.2,31.5,4.2,6.4,65.6,1.7,9.9,11.5,11.7,4.8,1.4,0.4,2.9,54.1,59,38,-1.4
3,Giannis Antetokounmpo,MIL,26,61,40,21,33.0,28.1,10.3,18.0,56.9,1.1,3.6,30.3,6.5,9.5,68.5,1.6,9.4,11.0,5.9,3.4,1.2,1.2,2.8,53.9,41,7,6.7
4,James Harden,BKN,31,44,31,13,36.6,24.6,7.8,16.7,46.6,2.8,7.6,36.2,6.3,7.3,86.1,0.8,7.1,7.9,10.8,4.0,1.2,0.8,2.3,52.1,32,12,2.3
5,Luka Doncic,DAL,22,66,40,26,34.3,27.7,9.8,20.5,47.9,2.9,8.3,35.0,5.2,7.1,73.0,0.8,7.2,8.0,8.6,4.3,1.0,0.5,2.3,50.5,26,11,2.5
6,Joel Embiid,PHI,27,51,39,12,31.1,28.5,9.0,17.6,51.3,1.1,3.0,37.7,9.2,10.7,85.9,2.2,8.4,10.6,2.8,3.1,1.0,1.4,2.4,49.3,31,0,7.9
7,Stephen Curry,GSW,33,63,37,26,34.2,32.0,10.4,21.7,48.2,5.3,12.7,42.1,5.7,6.3,91.6,0.5,5.0,5.5,5.8,3.4,1.2,0.1,1.9,47.9,8,0,3.9
8,LeBron James,LAL,36,45,30,15,33.4,25.0,9.4,18.3,51.3,2.3,6.3,36.5,4.0,5.7,69.8,0.6,7.0,7.7,7.8,3.7,1.1,0.6,1.6,47.0,18,5,6.4
9,Karl-Anthony Towns,MIN,25,50,19,31,33.8,24.8,8.5,17.5,48.6,2.4,6.3,38.7,5.3,6.2,85.9,2.7,7.9,10.6,4.5,3.2,0.8,1.1,3.7,46.8,33,0,0.2
10,Domantas Sabonis,IND,25,62,29,33,36.0,20.3,7.8,14.6,53.5,0.8,2.6,32.1,3.9,5.3,73.2,2.4,9.5,12.0,6.7,3.4,1.2,0.5,3.3,46.6,48,9,-1.5
12,Nikola Vucevic,CHI,30,70,26,44,33.5,23.4,9.5,19.9,47.7,2.5,6.3,40.0,1.9,2.2,84.0,2.1,9.6,11.7,3.8,1.8,0.9,0.7,2.0,46.2,48,2,-4.9
13,Damian Lillard,POR,30,67,39,28,35.8,28.8,9.0,19.9,45.1,4.1,10.5,39.1,6.7,7.2,92.8,0.5,3.7,4.2,7.5,3.0,0.9,0.3,1.5,45.7,16,0,3.0
14,Jimmy Butler,MIA,31,52,33,19,33.6,21.5,7.0,14.2,49.7,0.5,2.0,24.5,6.9,8.0,86.3,1.8,5.1,6.9,7.1,2.1,2.1,0.3,1.4,45.6,17,4,3.8
15,Kyrie Irving,BKN,29,54,36,18,34.9,26.9,10.2,20.1,50.6,2.8,7.0,40.2,3.7,4.0,92.2,1.0,3.8,4.8,6.0,2.4,1.4,0.7,2.6,45.5,8,0,4.2
16,Julius Randle,NYK,26,71,40,31,37.6,24.1,8.5,18.6,45.6,2.3,5.5,41.1,4.9,6.0,81.1,1.2,9.0,10.2,6.0,3.4,0.9,0.3,3.2,45.4,41,6,2.2
17,Bradley Beal,WAS,28,60,32,28,35.8,31.3,11.2,23.0,48.5,2.2,6.2,34.9,6.8,7.7,88.9,1.2,3.5,4.7,4.4,3.1,1.2,0.4,2.3,45.0,4,0,-0.1
18,Kawhi Leonard,LAC,30,52,36,16,34.1,24.8,8.9,17.5,51.2,1.9,4.9,39.8,5.0,5.7,88.5,1.1,5.4,6.5,5.2,2.0,1.6,0.4,1.6,44.2,9,0,8.6
19,Jayson Tatum,BOS,23,64,34,30,35.8,26.4,9.5,20.6,45.9,2.9,7.6,38.6,4.6,5.3,86.8,0.8,6.6,7.4,4.3,2.7,1.2,0.5,1.9,44.1,15,1,2.5
20,Zion Williamson,NOP,20,61,29,32,33.2,27.0,10.4,17.0,61.1,0.2,0.6,29.4,6.0,8.7,69.8,2.7,4.5,7.2,3.7,2.7,0.9,0.6,2.2,43.2,14,0,1.5
21,De'Aaron Fox,SAC,23,58,24,34,35.1,25.2,9.1,19.1,47.7,1.8,5.5,32.2,5.2,7.2,71.9,0.6,2.9,3.5,7.2,3.0,1.5,0.5,2.9,43.1,11,0,-3.4
22,Trae Young,ATL,22,63,36,27,33.7,25.3,7.7,17.7,43.8,2.2,6.3,34.3,7.7,8.7,88.6,0.6,3.3,3.9,9.4,4.1,0.8,0.2,1.8,43.1,28,0,4.2
24,Bam Adebayo,MIA,23,64,34,30,33.5,18.7,7.1,12.5,57.0,0.0,0.1,25.0,4.4,5.5,79.9,2.2,6.7,9.0,5.4,2.6,1.2,1.0,2.3,41.5,33,2,0.4
25,Zach LaVine,CHI,26,58,26,32,35.1,27.4,9.8,19.4,50.7,3.4,8.2,41.9,4.4,5.1,84.9,0.6,4.4,5.0,4.9,3.5,0.8,0.5,2.4,41.0,3,0,-0.2
26,Clint Capela,ATL,27,63,34,29,30.1,15.2,6.6,11.0,59.4,0.0,0.0,0.0,2.1,3.6,57.3,4.7,9.6,14.3,0.8,1.2,0.7,2.0,2.3,40.6,48,1,4.0
27,Donovan Mitchell,UTA,24,53,39,14,33.4,26.4,9.0,20.6,43.8,3.4,8.7,38.6,5.0,6.0,84.5,0.9,3.5,4.4,5.2,2.8,1.0,0.3,2.2,40.6,2,0,5.4
28,Paul George,LAC,31,54,38,16,33.7,23.3,8.2,17.6,46.7,3.2,7.7,41.1,3.7,4.2,86.8,0.8,5.8,6.6,5.2,3.3,1.1,0.4,2.4,40.5,9,0,8.0
29,Rudy Gobert,UTA,29,71,52,19,30.8,14.3,5.5,8.2,67.5,0.0,0.1,0.0,3.3,5.3,62.3,3.4,10.1,13.5,1.3,1.7,0.6,2.7,2.3,40.5,49,0,10.3
30,Pascal Siakam,TOR,27,56,21,35,35.8,21.4,7.8,17.2,45.5,1.3,4.4,29.7,4.4,5.4,82.7,1.7,5.5,7.2,4.5,2.3,1.1,0.7,3.1,39.8,13,1,2.3
32,Jaylen Brown,BOS,24,58,30,28,34.5,24.7,9.3,19.2,48.4,2.8,7.1,39.7,3.3,4.3,76.4,1.2,4.8,6.0,3.4,2.7,1.2,0.6,2.9,39.5,10,0,1.2
33,Fred VanVleet,TOR,27,52,22,30,36.5,19.6,6.5,16.7,38.9,3.3,9.2,36.6,3.3,3.7,88.5,0.6,3.6,4.2,6.3,1.8,1.7,0.7,2.3,39.5,5,0,2.7
34,Christian Wood,HOU,25,41,12,29,32.3,21.0,8.0,15.6,51.4,1.9,5.0,37.4,3.0,4.8,63.1,1.9,7.8,9.6,1.7,2.0,0.8,1.2,2.1,39.2,19,0,-2.4
35,DeMar DeRozan,SAS,31,61,27,34,33.7,21.6,7.5,15.1,49.5,0.3,1.2,25.7,6.3,7.2,88.0,0.7,3.6,4.2,6.9,2.0,0.9,0.2,2.1,38.6,13,0,-1.7
36,Brandon Ingram,NOP,23,61,29,32,34.3,23.8,8.4,18.0,46.6,2.3,6.1,38.1,4.6,5.2,87.8,0.6,4.3,4.9,4.9,2.5,0.7,0.6,2.0,38.2,4,0,0.7
37,Chris Paul,PHX,36,70,49,21,31.4,16.4,6.3,12.6,49.9,1.5,3.7,39.5,2.4,2.6,93.4,0.4,4.1,4.5,8.9,2.2,1.4,0.3,2.4,37.9,25,1,4.4
38,CJ McCollum,POR,29,47,28,19,34.0,23.1,8.6,18.8,45.8,3.6,8.9,40.2,2.3,2.8,81.2,0.6,3.3,3.9,4.7,1.4,0.9,0.4,1.9,37.7,2,0,4.4
39,Malcolm Brogdon,IND,28,56,27,29,34.5,21.2,7.9,17.5,45.3,2.6,6.7,38.8,2.7,3.2,86.4,1.0,4.2,5.3,5.9,2.1,0.9,0.3,2.0,37.7,6,0,-0.6
40,Jonas Valanciunas,MEM,29,62,32,30,28.3,17.1,7.1,12.0,59.2,0.3,0.9,36.8,2.5,3.3,77.3,4.1,8.4,12.5,1.8,1.6,0.6,0.9,2.9,37.6,49,0,2.2
41,Caris LeVert,IND,26,47,24,23,31.6,20.2,7.6,17.3,44.1,1.8,5.5,32.6,3.1,3.8,81.1,0.7,3.9,4.6,5.2,2.2,1.4,0.6,2.2,37.4,6,0,-0.1
42,Kristaps Porzingis,DAL,25,43,26,17,30.9,20.1,7.6,15.9,47.6,2.3,6.0,37.6,2.7,3.2,85.5,1.9,7.0,8.9,1.6,1.2,0.5,1.3,2.7,37.4,16,0,0.2
43,Devin Booker,PHX,24,67,48,19,33.9,25.6,9.3,19.2,48.4,1.9,5.5,34.0,5.1,5.9,86.7,0.5,3.7,4.2,4.3,3.1,0.8,0.2,2.7,37.1,1,0,4.9
44,Andre Drummond,LAL,27,46,19,27,27.0,14.9,6.1,12.4,49.3,0.0,0.2,0.0,2.7,4.5,60.0,3.6,8.4,12.0,2.0,2.7,1.4,1.1,3.2,37.0,28,0,-2.3
45,Ben Simmons,PHI,24,58,42,16,32.4,14.3,5.6,10.1,55.7,0.1,0.2,30.0,3.0,4.9,61.3,1.6,5.6,7.2,6.9,3.0,1.6,0.6,2.9,36.9,13,4,5.7
46,Jrue Holiday,MIL,31,59,41,18,32.3,17.7,7.0,13.9,50.3,1.9,4.8,39.2,1.8,2.3,78.7,1.2,3.3,4.5,6.1,2.2,1.6,0.6,1.7,36.9,10,0,6.4
47,Khris Middleton,MIL,29,68,45,23,33.4,20.4,7.5,15.8,47.6,2.2,5.4,41.4,3.1,3.5,89.8,0.8,5.2,6.0,5.4,2.6,1.1,0.1,2.4,36.7,10,0,4.3
48,John Wall,HOU,30,40,12,28,32.2,20.6,7.3,18.2,40.4,2.0,6.2,31.7,4.0,5.3,74.9,0.4,2.8,3.2,6.9,3.5,1.1,0.8,1.2,36.7,7,1,-4.2
49,Tobias Harris,PHI,28,62,44,18,32.5,19.5,7.6,14.9,51.2,1.3,3.4,39.4,2.9,3.3,89.2,1.0,5.8,6.8,3.5,1.7,0.9,0.8,1.9,36.4,11,0,5.2
51,Jamal Murray,DEN,24,48,31,17,35.5,21.2,7.9,16.5,47.7,2.7,6.6,40.8,2.8,3.2,86.9,0.8,3.3,4.0,4.8,2.3,1.3,0.3,2.0,35.8,1,0,6.3
52,Kyle Lowry,TOR,35,46,15,31,34.8,17.2,5.7,13.0,43.6,2.8,7.2,39.6,3.0,3.5,87.5,0.8,4.6,5.4,7.3,2.7,1.0,0.3,3.1,35.8,9,2,-0.1
53,Collin Sexton,CLE,22,60,18,42,35.3,24.3,8.8,18.4,47.5,1.6,4.4,37.1,5.2,6.4,81.5,1.0,2.2,3.1,4.4,2.8,1.0,0.2,2.6,35.4,1,0,-6.3
55,Dejounte Murray,SAS,24,67,32,35,31.9,15.7,6.6,14.5,45.3,0.9,3.0,31.7,1.6,2.0,79.1,0.9,6.2,7.1,5.4,1.7,1.5,0.1,2.0,35.4,13,4,1.3
56,Gordon Hayward,CHA,31,44,24,20,34.0,19.6,7.1,15.0,47.3,1.9,4.7,41.5,3.5,4.2,84.3,0.8,5.0,5.9,4.1,2.1,1.2,0.3,1.7,35.3,2,0,0.4
57,Jerami Grant,DET,27,54,15,39,33.9,22.3,7.4,17.3,42.9,2.1,6.1,35.0,5.4,6.4,84.5,0.6,4.0,4.6,2.8,2.0,0.6,1.1,2.3,35.2,3,0,-2.2
58,Ja Morant,MEM,21,63,33,30,32.6,19.1,6.8,15.2,44.9,1.2,3.8,30.3,4.3,5.9,72.8,0.9,3.1,4.0,7.4,3.2,0.9,0.2,1.4,35.1,14,1,1.7
59,Terry Rozier,CHA,27,69,32,37,34.5,20.4,7.4,16.4,45.0,3.2,8.3,38.9,2.4,2.9,81.7,0.7,3.7,4.4,4.2,1.9,1.3,0.4,1.7,35.1,5,0,-1.3
60,LaMelo Ball,CHA,19,51,23,28,28.8,15.7,5.7,13.2,43.6,1.8,5.1,35.2,2.5,3.2,75.8,1.2,4.7,5.9,6.1,2.8,1.6,0.4,2.7,35.0,7,1,-1.6
61,Kemba Walker,OKC,31,43,22,21,31.8,19.3,6.6,15.7,42.0,3.0,8.2,36.0,3.1,3.5,89.9,0.4,3.6,4.0,4.9,2.0,1.1,0.3,1.4,33.6,0,0,2.2
62,Draymond Green,GSW,31,63,35,28,31.5,7.0,2.7,6.0,44.7,0.5,2.0,27.0,1.1,1.4,79.5,0.9,6.2,7.1,8.9,3.0,1.7,0.8,3.1,33.4,17,6,3.8
63,Myles Turner,IND,25,47,22,25,31.0,12.6,4.4,9.2,47.7,1.5,4.4,33.5,2.4,3.0,78.2,1.3,5.2,6.5,1.0,1.4,0.9,3.4,3.5,33.2,7,0,0.5
64,Deandre Ayton,PHX,22,69,48,21,30.6,14.4,6.2,10.0,62.6,0.1,0.3,20.0,1.9,2.5,76.9,3.3,7.2,10.5,1.4,1.5,0.6,1.2,2.8,33.1,33,0,4.0
65,Michael Porter Jr.,DEN,23,61,40,21,31.3,19.0,7.3,13.4,54.2,2.8,6.3,44.5,1.7,2.2,79.1,1.5,5.8,7.3,1.1,1.3,0.7,0.9,2.1,32.9,15,0,5.9
66,Lonzo Ball,NOP,23,55,23,32,31.8,14.6,5.3,12.7,41.4,3.1,8.3,37.8,0.9,1.2,78.1,0.6,4.2,4.8,5.7,2.2,1.5,0.6,1.9,32.9,5,1,0.9
67,D'Angelo Russell,MIN,25,42,16,26,28.5,19.0,6.7,15.5,43.1,2.9,7.4,38.7,2.7,3.5,76.5,0.4,2.3,2.6,5.8,2.7,1.1,0.4,1.6,32.7,6,0,-4.6
68,Mike Conley,UTA,33,51,37,14,29.4,16.2,5.6,12.5,44.4,2.7,6.6,41.2,2.4,2.8,85.2,0.7,2.8,3.5,6.0,1.9,1.4,0.2,1.9,32.1,6,0,10.7
69,Richaun Holmes,SAC,27,61,29,32,29.2,14.2,6.0,9.4,63.7,0.0,0.2,18.2,2.2,2.8,79.4,2.4,5.9,8.3,1.7,1.2,0.6,1.6,3.5,32.1,21,0,0.1
70,Anthony Edwards,MIN,19,72,23,49,32.1,19.3,7.0,16.8,41.7,2.4,7.2,32.9,2.9,3.8,77.6,0.8,3.8,4.7,2.9,2.2,1.1,0.5,1.8,32.0,3,0,-3.2
71,Andrew Wiggins,GSW,26,71,38,33,33.3,18.6,7.1,14.9,47.7,2.0,5.2,38.0,2.4,3.4,71.4,1.2,3.7,4.9,2.4,1.8,0.9,1.0,2.2,32.0,3,0,0.0
73,John Collins,ATL,23,63,34,29,29.3,17.6,6.8,12.2,55.6,1.3,3.3,39.9,2.7,3.2,83.3,1.9,5.5,7.4,1.2,1.3,0.5,1.0,3.1,31.7,16,0,2.9
74,Jusuf Nurkic,POR,26,37,22,15,23.8,11.5,4.6,9.0,51.4,0.3,0.8,40.0,1.9,3.1,61.9,2.3,6.6,9.0,3.4,2.0,1.0,1.1,2.8,31.6,13,0,3.4
75,Jarrett Allen,CLE,23,63,20,43,29.6,12.8,4.7,7.7,61.8,0.1,0.3,31.6,3.2,4.6,70.3,3.1,6.9,10.0,1.7,1.6,0.5,1.4,1.5,31.6,25,0,-3.2
76,OG Anunoby,TOR,23,43,18,25,33.3,15.9,5.8,12.1,48.0,2.4,6.1,39.8,1.9,2.4,78.4,1.3,4.3,5.5,2.2,1.7,1.5,0.7,2.7,30.8,3,0,2.7
77,Harrison Barnes,SAC,29,58,25,33,36.2,16.1,5.5,11.1,49.7,1.7,4.4,39.1,3.4,4.1,83.0,1.1,5.5,6.6,3.5,1.6,0.7,0.2,1.3,30.4,6,0,-1.0
78,Darius Garland,CLE,21,54,18,36,33.1,17.4,6.7,14.9,45.1,1.9,4.9,39.5,2.1,2.4,84.8,0.4,2.0,2.4,6.1,3.0,1.2,0.1,2.0,30.4,6,0,-4.4
80,RJ Barrett,NYK,21,72,41,31,34.9,17.6,6.5,14.7,44.1,1.7,4.3,40.1,2.9,3.8,74.6,0.9,4.8,5.8,3.0,1.9,0.7,0.3,2.6,30.1,5,0,1.9
81,Mason Plumlee,DET,31,56,14,42,26.8,10.4,4.2,6.8,61.4,0.0,0.1,0.0,2.0,3.0,66.9,2.6,6.7,9.3,3.6,1.9,0.8,0.9,3.3,30.0,16,2,-2.7
82,Chris Boucher,TOR,28,60,25,35,24.2,13.6,4.8,9.3,51.4,1.5,3.9,38.3,2.5,3.2,78.8,2.0,4.8,6.7,1.1,0.8,0.6,1.9,2.8,29.8,12,0,1.6
83,Malik Beasley,MIN,24,37,8,29,32.8,19.6,7.1,16.2,44.0,3.5,8.7,39.9,1.8,2.2,85.0,0.8,3.6,4.4,2.4,1.6,0.8,0.2,1.7,29.8,0,0,-5.3
84,Buddy Hield,SAC,28,71,31,40,34.3,16.6,5.7,14.0,40.6,4.0,10.2,39.1,1.2,1.5,84.6,0.4,4.3,4.7,3.6,1.8,0.9,0.4,2.5,29.7,2,0,-0.8
85,Marcus Smart,BOS,27,48,24,24,32.9,13.1,4.2,10.6,39.8,1.9,5.9,33.0,2.7,3.4,79.0,0.8,2.7,3.5,5.7,2.0,1.5,0.5,2.6,29.7,3,0,1.9
86,Kelly Olynyk,HOU,30,70,26,44,28.5,13.5,4.8,10.0,48.4,1.8,5.3,34.2,2.1,2.5,82.9,1.2,5.7,7.0,2.9,1.8,1.1,0.6,3.0,29.6,12,0,-1.4
87,Dennis Schroder,LAL,27,61,38,23,32.1,15.4,5.4,12.5,43.7,1.2,3.5,33.5,3.4,4.0,84.8,0.5,3.0,3.5,5.8,2.7,1.1,0.2,2.6,29.6,6,0,1.4
88,Kyle Anderson,MEM,27,69,36,33,27.4,12.4,4.5,9.5,46.8,1.4,3.8,36.0,2.1,2.7,78.3,0.8,5.0,5.7,3.6,1.2,1.2,0.8,1.7,29.6,3,0,0.7
90,P.J. Washington,CHA,22,64,31,33,30.5,12.9,4.7,10.7,44.0,1.8,4.5,38.6,1.7,2.3,74.5,1.5,5.1,6.5,2.5,2.0,1.1,1.2,2.7,29.4,10,0,0.5
91,Thaddeus Young,CHI,33,68,30,38,24.3,12.1,5.4,9.7,55.9,0.2,0.7,26.7,1.0,1.7,62.8,2.5,3.8,6.2,4.3,2.0,1.1,0.6,2.2,29.0,7,0,2.1
92,Evan Fournier,BOS,28,42,18,24,30.0,17.1,5.9,12.9,45.7,2.8,6.7,41.3,2.6,3.3,78.8,0.2,2.8,3.0,3.4,1.7,1.1,0.5,2.3,28.9,0,0,-0.8
93,Bogdan Bogdanovic,ATL,28,44,30,14,29.7,16.4,6.1,12.8,47.3,3.3,7.6,43.8,0.9,1.0,90.9,0.5,3.2,3.6,3.3,1.2,1.1,0.3,2.3,28.7,0,0,2.5
94,Kelly Oubre Jr.,GSW,25,55,27,28,30.7,15.4,5.8,13.2,43.9,1.6,5.2,31.6,2.2,3.2,69.5,1.5,4.5,6.0,1.3,1.3,1.0,0.8,2.2,28.7,6,0,-3.5
95,Enes Kanter,POR,29,72,42,30,24.4,11.2,4.7,7.8,60.4,0.0,0.1,25.0,1.8,2.3,77.4,3.9,7.1,11.0,1.2,1.1,0.5,0.7,2.3,28.5,34,0,2.2
96,Tyrese Haliburton,SAC,21,58,25,33,30.1,13.0,5.0,10.7,47.2,2.1,5.1,40.9,0.8,1.0,85.7,0.7,2.3,3.0,5.3,1.6,1.3,0.5,1.4,28.4,5,0,-3.1
97,Jordan Clarkson,UTA,29,68,49,19,26.7,18.4,6.7,15.8,42.5,3.1,8.8,34.7,1.9,2.1,89.6,0.7,3.3,4.0,2.5,1.7,0.9,0.1,1.6,28.4,0,0,4.4
99,Norman Powell,POR,28,69,32,37,32.0,18.6,6.3,13.3,47.7,2.5,6.0,41.1,3.4,3.9,87.1,0.6,2.5,3.1,1.9,1.7,1.2,0.3,2.3,27.8,0,0,1.1
100,T.J. McConnell,IND,29,69,33,36,26.0,8.6,4.0,7.1,55.9,0.2,0.7,31.3,0.5,0.7,68.8,0.8,2.9,3.7,6.6,2.0,1.9,0.3,1.6,27.6,5,1,1.0
101,Devonte' Graham,CHA,26,55,23,32,30.2,14.8,4.6,12.2,37.7,3.3,8.7,37.5,2.4,2.9,84.2,0.4,2.3,2.7,5.4,1.5,0.9,0.1,1.4,27.5,3,0,1.8
102,Jakob Poeltl,SAS,25,69,32,37,26.7,8.6,3.8,6.2,61.6,0.0,0.0,0.0,0.9,1.8,50.8,3.2,4.8,7.9,1.9,1.2,0.7,1.8,2.5,27.2,15,0,1.6
103,Coby White,CHI,21,69,30,39,31.2,15.1,5.4,13.1,41.6,2.4,6.6,35.9,1.9,2.1,90.1,0.4,3.7,4.1,4.8,2.3,0.6,0.2,2.6,27.2,5,0,-1.6
