#,Team,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,+/-,Year
7,Milwaukee Bucks,72,46,26,48.1,42.4,92.9,45.6,14.8,38.6,38.4,14.6,18.8,78,9.6,33.8,43.4,25.1,13.2,7,4.8,4.6,18.3,17.3,114.2,-5.9,2020
8,Dallas Mavericks,72,42,30,48.1,40.1,87.1,46,12.8,35.2,36.5,17.2,22.5,76.4,9.8,34.2,43.9,22.7,12.6,7.3,3.7,4.3,20.1,19.4,110.2,-2.3,2020
8,Los Angeles Lakers,72,42,30,48.5,39.8,86.4,46,11.4,32.2,35.2,15.9,20.5,77.6,8.8,33.2,42,24.7,15.2,8.2,4.5,5.4,21.3,19.1,106.8,-2.8,2020
8,Portland Trail Blazers,72,42,30,48.1,41.8,88.3,47.3,12.9,34.6,37.2,17.9,22.8,78.7,9.9,35.5,45.4,24.9,12.4,6.1,4.6,5,19.1,18.9,114.3,-1.8,2020
11,Atlanta Hawks,72,41,31,48.3,41.3,89.1,46.3,11.9,34.2,34.9,16.9,21.1,80.3,10,32.7,42.7,24.4,12.3,7.7,5,4.8,19.8,19.3,111.4,-2.3,2020
11,New York Knicks,72,41,31,48.4,37.9,86.2,44,12,35.6,33.7,16.9,22.2,76.1,9.7,34.4,44.1,23.6,12.8,6.6,5.4,5.1,17.9,20.5,104.7,-2.3,2020
13,Miami Heat,72,40,32,48.3,39.1,85.2,45.9,14.3,39.1,36.5,15.6,19.9,78.2,9.5,33.4,42.9,25.8,15.1,7.5,4,4,19.6,18.9,108,0,2020
14,Golden State Warriors,72,39,33,48.1,40.2,89,45.2,12.4,34.5,35.9,19.8,25.5,77.8,10.7,36.6,47.3,23.8,15,7.9,4.3,4.8,19.5,21.2,112.7,-1.1,2020
15,Memphis Grizzlies,72,38,34,48.3,41,88.7,46.2,12.9,35.1,36.7,17.4,22.1,78.8,9.8,34.9,44.7,25.4,14.8,7.7,5.2,5.1,18.3,18.7,112.3,-1,2020
16,Boston Celtics,72,36,36,48.3,39.9,86,46.4,12.8,34.3,37.4,18.5,23.5,78.5,9.4,33.1,42.5,24.1,14.1,7.4,4.6,5.3,19.3,20.4,111.2,-1.5,2020
17,Indiana Pacers,72,34,38,48.5,42.7,91.3,46.8,11.5,31.5,36.6,18.4,23.5,78.2,11.3,35.5,46.8,26.1,14.8,7.4,5.3,6.4,18.1,20.2,115.3,0,2020
17,Washington Wizards,72,34,38,48.3,43.1,91.6,47.1,12.4,33.7,36.9,19.8,25.4,78.1,10.3,35.8,46.1,24.5,14.7,8.2,4.8,4.1,22,21.6,118.5,1.8,2020
19,Charlotte Hornets,72,33,39,48.2,41.3,88.1,46.8,14.5,39.5,36.6,14.4,19.3,74.5,10.6,34.5,45.2,27.1,14.7,8.1,4.8,4.8,18.6,18,111.4,1.9,2020
19,San Antonio Spurs,72,33,39,48.6,42.4,89.8,47.2,12.3,32.6,37.7,15.7,20.7,75.8,10.2,37.2,47.4,24.8,13.2,6.3,5.1,5.1,18.6,18,112.8,1.7,2020
21,Chicago Bulls,72,31,41,48.3,41.4,87.7,47.3,11.5,32.3,35.6,17.2,22.2,77.4,8.7,33.5,42.1,24.1,12.7,8.5,5.1,4.2,17.7,18.9,111.6,0.9,2020
21,New Orleans Pelicans,72,31,41,48.4,41.9,89.3,46.9,14.5,38.1,38,16.6,21.1,79,8.9,32.9,41.8,25.9,13.3,7.7,5.9,4.4,21.3,18,114.9,0.3,2020
21,Sacramento Kings,72,31,41,48.1,43.6,89.4,48.8,12.4,32.6,38,17.8,22.7,78.7,10.7,34.6,45.2,25.3,13.7,7.6,4.7,5,18.7,19.4,117.4,3.7,2020
24,Toronto Raptors,72,27,45,48.1,39,84.7,46.1,13.9,36.7,37.9,19.8,24.8,79.9,10,35.9,45.9,26,16.1,6.6,5.6,5.4,19.5,21.2,111.7,0.5,2020
25,Minnesota Timberwolves,72,23,49,48.3,43,89.3,48.2,13.1,33.5,39.2,18.5,23.5,78.6,10,35.8,45.8,26.8,15.3,7.6,5.5,5.5,19.9,20.9,117.7,5.6,2020
26,Cleveland Cavaliers,72,22,50,48.4,42,86.7,48.4,12.4,32.4,38.3,15.9,20.4,77.9,9.9,33.8,43.7,25.4,14.3,8.5,5.9,4.5,20.2,18.2,112.3,8.4,2020
26,Oklahoma City Thunder,72,22,50,48.2,43.4,91.7,47.3,13.6,37.3,36.4,15.3,19.8,77.3,10.1,37,47.1,25.8,13.1,9,5.3,4.4,18.6,18.1,115.6,10.6,2020
28,Orlando Magic,72,21,51,48.1,42.2,89.7,47.1,13.7,36.8,37.3,15.2,19.3,78.6,9.8,37.6,47.4,26,12.7,7.6,5.3,4.4,18.7,17.2,113.3,9.3,2020
29,Detroit Pistons,72,20,52,48.4,41.4,86.9,47.6,11.3,31.4,36.2,17,22.3,76,10,34.4,44.3,24.8,13.9,8,5.8,5.2,20.4,20.5,111.1,4.5,2020
30,Houston Rockets,72,17,55,48.1,42.7,89,48,13.4,35.2,38.2,17.9,22.8,78.3,9.9,37.7,47.6,25.8,14.7,8.5,5.3,5,19.3,19.5,116.7,7.9,2020
